             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      15714056_258 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_259 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_260 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_261 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_262 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_263 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_264 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_265 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_266 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_267 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_268 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_269 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_270 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_271 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_272 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_273 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_274 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_275 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_276 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_277 sc-loprio collect_ siddhart  R       0:25      1 miso4
      15714056_278 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_279 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_280 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_281 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_282 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_283 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_284 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_285 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_286 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_287 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_288 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_289 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_290 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_291 sc-loprio collect_ siddhart  R       0:25      1 miso5
      15714056_292 sc-loprio collect_ siddhart  R       0:25      1 miso5
