             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      15714480_302 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_303 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_304 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_305 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_306 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_307 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_308 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_309 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_310 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_311 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_312 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_313 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_314 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_315 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_316 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_317 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_318 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_319 sc-loprio collect_ siddhart  R       1:34      1 sphinx11
      15714480_320 sc-loprio collect_ siddhart  R       1:34      1 cocoflops2
      15714480_321 sc-loprio collect_ siddhart  R       1:34      1 cocoflops1
      15714480_322 sc-loprio collect_ siddhart  R       1:34      1 cocoflops-hgx-1
      15714480_323 sc-loprio collect_ siddhart  R       1:34      1 cocoflops-hgx-1
      15714480_324 sc-loprio collect_ siddhart  R       1:34      1 cocoflops-hgx-1
      15714480_325 sc-loprio collect_ siddhart  R       1:34      1 sphinx2
      15714480_326 sc-loprio collect_ siddhart  R       1:34      1 sphinx2
      15714480_327 sc-loprio collect_ siddhart  R       1:34      1 iliad8
      15714480_328 sc-loprio collect_ siddhart  R       1:34      1 iliad8
      15714480_329 sc-loprio collect_ siddhart  R       1:34      1 iliad7
      15714480_330 sc-loprio collect_ siddhart  R       1:34      1 iliad7
      15714480_331 sc-loprio collect_ siddhart  R       1:34      1 iliad7
      15714480_332 sc-loprio collect_ siddhart  R       1:34      1 iliad7
      15714480_333 sc-loprio collect_ siddhart  R       1:34      1 iliad9
      15714480_334 sc-loprio collect_ siddhart  R       1:34      1 iliad9
      15714480_335 sc-loprio collect_ siddhart  R       1:34      1 pasteur7
      15714480_336 sc-loprio collect_ siddhart  R       1:34      1 pasteur7
      15714480_337 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_338 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_339 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_340 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_341 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_342 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_343 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_344 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_345 sc-loprio collect_ siddhart  R       1:34      1 pasteur8
      15714480_346 sc-loprio collect_ siddhart  R       1:34      1 pasteur9
      15714480_347 sc-loprio collect_ siddhart  R       1:34      1 pasteur9
      15714480_348 sc-loprio collect_ siddhart  R       1:34      1 pasteur9
      15714480_349 sc-loprio collect_ siddhart  R       1:34      1 pasteur9
      15714480_350 sc-loprio collect_ siddhart  R       1:34      1 pasteur9
      15714480_351 sc-loprio collect_ siddhart  R       1:34      1 pasteur9
      15714480_352 sc-loprio collect_ siddhart  R       1:34      1 pasteur9
      15714480_353 sc-loprio collect_ siddhart  R       1:34      1 pasteur9
      15714480_354 sc-loprio collect_ siddhart  R       1:34      1 pasteur1
      15714480_355 sc-loprio collect_ siddhart  R       1:34      1 pasteur-hgx-2
      15714480_356 sc-loprio collect_ siddhart  R       1:34      1 pasteur-hgx-2
      15714480_357 sc-loprio collect_ siddhart  R       1:34      1 pasteur-hgx-2
      15714480_358 sc-loprio collect_ siddhart  R       1:34      1 pasteur-hgx-2
      15714480_359 sc-loprio collect_ siddhart  R       1:34      1 pasteur2
      15714480_360 sc-loprio collect_ siddhart  R       1:34      1 pasteur2
      15714480_361 sc-loprio collect_ siddhart  R       1:34      1 pasteur2
      15714480_362 sc-loprio collect_ siddhart  R       1:34      1 pasteur3
      15714480_363 sc-loprio collect_ siddhart  R       1:34      1 pasteur3
      15714480_364 sc-loprio collect_ siddhart  R       1:34      1 pasteur3
      15714480_365 sc-loprio collect_ siddhart  R       1:34      1 pasteur4
      15714480_366 sc-loprio collect_ siddhart  R       1:34      1 pasteur4
      15714480_367 sc-loprio collect_ siddhart  R       1:34      1 pasteur4
      15714480_368 sc-loprio collect_ siddhart  R       1:34      1 pasteur5
      15714480_369 sc-loprio collect_ siddhart  R       1:34      1 pasteur5
      15714480_370 sc-loprio collect_ siddhart  R       1:34      1 pasteur5
      15714480_371 sc-loprio collect_ siddhart  R       1:34      1 pasteur5
      15714480_372 sc-loprio collect_ siddhart  R       1:34      1 tiger2
      15714480_373 sc-loprio collect_ siddhart  R       1:34      1 tiger3
      15714480_374 sc-loprio collect_ siddhart  R       1:34      1 tiger7
      15714480_375 sc-loprio collect_ siddhart  R       1:34      1 tiger7
      15714480_376 sc-loprio collect_ siddhart  R       1:34      1 tiger7
      15714480_377 sc-loprio collect_ siddhart  R       1:34      1 tiger8
      15714480_378 sc-loprio collect_ siddhart  R       1:34      1 tiger8
      15714480_379 sc-loprio collect_ siddhart  R       1:34      1 tiger4
      15714480_380 sc-loprio collect_ siddhart  R       1:34      1 tiger5
      15714480_381 sc-loprio collect_ siddhart  R       1:34      1 tiger6
      15714480_382 sc-loprio collect_ siddhart  R       1:34      1 tiger6
      15714480_383 sc-loprio collect_ siddhart  R       1:34      1 tiger6
      15714480_384 sc-loprio collect_ siddhart  R       1:34      1 sphinx6
      15714480_385 sc-loprio collect_ siddhart  R       1:34      1 sphinx6
      15714480_386 sc-loprio collect_ siddhart  R       1:34      1 sphinx8
      15714480_387 sc-loprio collect_ siddhart  R       1:34      1 sphinx8
      15714480_388 sc-loprio collect_ siddhart  R       1:34      1 sphinx7
      15714480_389 sc-loprio collect_ siddhart  R       1:34      1 sphinx7
      15714480_390 sc-loprio collect_ siddhart  R       1:34      1 sphinx7
      15714480_391 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_392 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_393 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_394 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_395 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_396 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_397 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_398 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_399 sc-loprio collect_ siddhart  R       1:34      1 sphinx9
      15714480_400 sc-loprio collect_ siddhart  R       1:34      1 tiger1
      15714480_401 sc-loprio collect_ siddhart  R       1:34      1 viscam2
      15714480_402 sc-loprio collect_ siddhart  R       1:34      1 viscam8
      15714480_403 sc-loprio collect_ siddhart  R       1:34      1 viscam8
