rank,path,run_id,num_transitions,return_sum,return_discounted,terminal_reward,reward_mean,E_fusion_total_MJ,H98_flattop_avg,H98_max,P_fusion_max_MW,P_ohmic_max_MW,Q_flattop_avg,Q_max,Q_max_time,T_e_core_max_keV,T_i_core_max_keV,beta_N_max,f_GW_max,flux_consumed_Wb,l_i_flattop_avg,n_e_line_avg_max,q0_min,q95_min,vloop_tx_flattop_avg_V
119,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0416.json,416,21,11.746350380309668,10.47214021766089,2.628390273804653,0.5593500181099842,77213.48633436004,0.689133717449261,0.7611123284170939,212.0166158853598,7.430393234269608,3.924625275443602,4.4343374830538185,420.37046037037055,12.669159227279401,10.860814373244839,1.2158865924642654,0.9861096744284938,138.6427290523113,0.7650104114636461,1.1414723365597073e+20,0.6331585185087794,2.881498799241546,0.15422953809409143
120,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0245.json,245,21,11.725451252566295,10.457386584140437,2.5095341512736775,0.558354821550776,77792.58119863445,0.6905679859806726,0.7539935867829004,212.48503489829372,7.430394370208367,3.973290116166818,4.43993060705073,440.246993580247,12.57238812388889,10.79113718038631,1.2142400027776643,0.984231230561678,138.13091436517414,0.766406305991584,1.1398221868125546e+20,0.6303970384177525,2.8772253224453017,0.15342483945267396
121,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0181.json,181,21,11.707884864208008,10.362834636664754,2.3027310378280967,0.557518326867048,77269.23425618165,0.6900444882739124,0.7420177623051865,210.1948259288811,7.430391985634898,3.9897120292443318,4.549297265941071,449.4445244444446,12.49414729618069,10.805840223875732,1.2074444294271958,0.982977209588832,139.15365568499527,0.7646189247616171,1.1357782895790608e+20,0.7998404025349128,2.848279782227827,0.15425416880320306
122,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0583.json,583,21,11.683693693192813,10.40951896980323,2.379265645876942,0.5563663663425149,75922.741641016,0.6876631196374562,0.743989225125019,206.74378276577164,7.4303825399982335,3.9045971468166645,4.203934447265115,420.6173739506174,12.517299996957346,10.787207729210737,1.2024159668685919,0.9809027213582674,141.17221993739108,0.7626552249257349,1.133427972126256e+20,0.6383102452972939,2.8926216526534905,0.15574526827728977
123,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0361.json,361,21,11.682372925087586,10.352123189614971,2.589291215109969,0.5563034726232183,77264.0904942266,0.6886182778925333,0.7432691915753962,211.29119676857243,7.430393432715391,3.9380103922221603,4.3786611938257725,440.61737395061743,12.534831481545611,10.830052067329245,1.211538159760764,0.984549843908158,140.85952804282883,0.7648268617358432,1.1384365113743886e+20,0.6383195904990968,2.892333521775591,0.15412542413972075
124,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0497.json,497,21,11.676417849663522,10.410396774354318,2.397087846898827,0.5560198976030248,77901.51436697909,0.6912057657824076,0.7596808579838003,212.40366287224515,7.430395551477826,4.01135076825764,4.445149181103676,400.3087119753088,12.698454111349237,10.816143426965594,1.213177896722448,0.9835282370080102,138.53750142619705,0.7654514358713808,1.1400274413184467e+20,0.6319628482617787,2.8791869381231807,0.15366567435034484
125,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0064.json,64,21,11.626990108892365,10.36060216939563,2.4269259691556773,0.5536661956615412,76892.79925056286,0.6878710857006209,0.753277252321846,209.04391987591052,7.430391963211845,3.9145769996416178,4.272610232955274,440.1852851851853,12.62972203308899,10.779881742536743,1.203937563342379,0.9809976966250004,139.71114624980098,0.7632408464823653,1.134128960489e+20,0.6310418195746242,2.8753824226412537,0.15545333337697823
126,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0142.json,142,21,11.597964140338027,10.285332416058813,2.64910325911006,0.5522840066827632,77801.10430445365,0.6890619316623633,0.7498138322053685,212.244912598551,7.430395821441596,3.9409285475422657,4.547244814052792,400.24698358024705,12.567872477923647,10.782479768368793,1.2134139313786985,0.986710593590619,138.8403648489305,0.7660115815837302,1.1400057595155271e+20,0.6341725435177292,2.877550361055009,0.15346148219164502
127,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0467.json,467,21,11.585269157069542,10.354736005041431,2.601181891730943,0.5516794836699782,76994.62278721438,0.6862614292499144,0.7582203637744573,208.73923790602436,7.430398583810831,3.830737261950856,4.156957847165367,265.1234867901237,12.698493253945703,10.749714288025446,1.2120694125982177,0.9852399515041479,138.9045075319013,0.7640087546996561,1.1422475971557889e+20,0.6327239656925436,2.873172161071544,0.1547319223310462
128,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0364.json,364,21,11.575293951851796,10.296887880485272,2.4716392168855386,0.5512044738977045,77141.69015239281,0.6903390926289171,0.7367883328254716,210.54397206785552,7.430384119914915,3.98141621419588,4.383316946781434,376.4815414814815,12.56359959281953,10.802247789234825,1.2101834855194025,0.9827541617992112,139.68861076487948,0.7653346481899734,1.1382162605426776e+20,0.6509997594732427,2.7179498118034418,0.15359042831084788
129,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0509.json,509,21,11.550567396129445,10.252415980745592,2.609167599429626,0.5500270188633068,77607.25824832596,0.6894334473797945,0.7431620715967544,210.75543311540005,7.430390508178247,3.94874529991811,4.511077694170032,350.5556055555557,12.535890953377798,10.819173268066978,1.2124279066270978,0.9885006098167128,139.33890177573133,0.7666233553035995,1.1398801308537107e+20,0.6382434641872061,2.889027737270063,0.15319645887784147
130,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0516.json,516,21,11.53246771437743,10.235434748546686,2.5480198878544753,0.5491651292560681,78255.8983374428,0.6875099116404768,0.7512880385935482,212.51251327815712,7.430394826273511,3.8901918197943037,4.223966858823655,395.43216876543227,12.69142224222809,10.878851674055104,1.212269731804459,0.9831745931158613,138.24691324325647,0.7661690912418927,1.1364628428364456e+20,0.6285112526994608,2.8826313203885254,0.153680671658204
